Date,Event,Type,Item,Qty,Unit,Total,Source,Notes
10/3/19,North Hollywood High School,Transportation,Uber,2,$36.33,$36.33,CS Dept,
10/7/19,North Hollywood High School,Transportation,Uber,1,$25.77,$25.77,CS Mini Fund,
10/7/19,North Hollywood High School,Transportation,Uber,1,$26.96,$26.96,CS Mini Fund,
10/10/19,Sepulveda Middle School,Transportation,Lyft,1,$36.76,$36.76,CS Dept,
10/22/19,Brockton Elementary School,Transportation,Lyft,1,$9.32,$9.32,CS Mini Fund,
10/24/19,North Hollywood High School,Transportation,Uber,1,$22.31,$22.31,CS Dept,
10/24/19,North Hollywood High School,Transportation,Uber,1,$19.99,$19.99,CS Mini Fund,
10/24/19,Sepulveda Middle School,Transportation,Lyft,2,$71.07,$71.07,CS Dept,
10/24/19,North Hollywood High School,Transportation,Uber,1,$19.99,$19.99,CS Mini Fund,
10/28/19,North Hollywood High School,Transportation,Uber,1,$12.49,$12.49,CS Mini Fund,
10/28/19,North Hollywood High School,Transportation,Uber,1,$25.50,$25.50,CS Mini Fund,
10/28/19,North Hollywood High School,Transportation,Uber,1,$25.45,$25.45,CS Mini Fund,
10/28/19,Mark Twain Middle School,Transportation,Uber,1,$12.49,$12.49,CS Mini Fund,
10/30/19,Sepulveda Middle School,Prizes,Prizes,1,$21.25,$21.25,CS Mini Fund,
10/30/19,North Hollywood High School,Transportation,Uber,1,$25.45,$25.45,CS Mini Fund,
10/30/19,North Hollywood High School,Transportation,Uber,1,$25.50,$25.50,CS Mini Fund,
11/5/19,Brockton Elementary School,Transportation,Uber,1,$14.92,$14.92,CS Mini Fund,
11/7/19,North Hollywood High School,Transportation,Uber,1,$16.57,$16.57,CS Mini Fund,
11/7/19,North Hollywood High School,Transportation,Uber,1,$14.26,$14.26,CS Mini Fund,
11/12/19,Brockton Elementary School,Transportation,Uber,1,$7.99,$7.99,CS Mini Fund,
11/12/19,Brockton Elementary School,Transportation,Uber,1,$11.01,$11.01,CS Mini Fund,
11/14/19,North Hollywood High School,Transportation,Uber,1,$13.96,$13.96,CS Mini Fund,
11/14/19,North Hollywood High School,Transportation,Uber,1,$19.74,$19.74,CS Mini Fund,
11/19/19,Brockton Elementary School,Transportation,Uber,1,$9.44,$9.44,CS Mini Fund,
11/20/19,North Hollywood High School,Transportation,Uber,1,$25.27,$25.27,CS Mini Fund,
11/20/19,North Hollywood High School,Transportation,Uber,1,$26.73,$26.73,CS Mini Fund,
11/28/19,Mark Twain Middle School,Transportation,Uber,2,$24.98,$24.98,CS Dept,Missing justification
11/28/19,North Hollywood High School,Transportation,Uber,1,$19.99,$19.99,CS Dept,Missing justification
12/9/19,North Hollywood High School,Transportation,Uber,1,$25.75,$25.75,CS Mini Fund,
12/9/19,North Hollywood High School,Transportation,Uber,1,$25.24,$25.24,CS Mini Fund,
1/27/20,North Hollywood High School,Transportation,Lyft,2,$40.38,$40.38,CS Dept,
1/27/20,Brockton Elementary School,Transportation,Lyft,2,$26.29,$26.29,CS Dept,
2/4/20,Brockton Elementary School,Transportation,Lyft,2,$15.32,$15.32,CS Dept,
2/4/20,Sepulveda Middle School,Transportation,Lyft,2,$45.80,$45.80,CS Dept,
2/4/20,Sepulveda Middle School,Transportation,Lyft,2,$45.80,$45.80,CS Dept,"Duplicate entry filed,likely mistake"
2/4/20,Emerson Middle School,Transportation,Uber,2,$14.77,$14.77,CS Dept,
2/11/20,Brockton Elementary School,Transportation,Lyft,2,$27.72,$27.72,CS Dept,
2/11/20,Emerson Middle School,Transportation,Uber,2,$10.92,$10.92,CS Dept,
2/12/20,Sepulveda Middle School,Transportation,Lyft,1,$25.25,$25.25,CS Dept,
2/12/20,Sepulveda Middle School,Transportation,Lyft,2,$46.22,$46.22,CS Dept,
2/18/20,Sepulveda Middle School,Transportation,Lyft,1,$21.84,$21.84,CS Dept,
2/18/20,Brockton Elementary School,Transportation,Lyft,2,$31.47,$31.47,CS Dept,
2/18/20,North Hollywood High School,Transportation,Lyft,2,$41.88,$41.88,CS Dept,
2/27/20,Sepulveda Middle School,Transportation,Lyft,2,$58.01,$58.01,CS Dept,
2/27/20,Emerson Middle School,Transportation,Uber,2,$14.32,$14.32,CS Dept,
3/24/20,Sepulveda Middle School,Transportation,Uber,1,$24.09,$24.09,CS Dept,
3/24/20,North Hollywood High School,Transportation,Lyft,2,$40.76,$40.76,CS Dept,
3/24/20,Emerson Middle School,Transportation,Uber,2,$19.67,$19.67,CS Dept,
3/24/20,Sepulveda Middle School,Transportation,Lyft,2,$56.80,$56.80,CS Dept,
3/24/20,Emerson Middle School,Transportation,Uber,2,$15.60,$15.60,CS Dept,
3/24/20,Sepulveda Middle School,Prizes,Candy,2,$18.04,$18.04,CS Dept,
3/24/20,Sepulveda Middle School,Prizes,Candy,1,$14.65,$14.65,CS Dept,
3/24/20,Emerson Middle School,Transportation,Lyft,2,$11.54,$11.54,CS Dept,
3/24/20,Sepulveda Middle School,Transportation,Lyft,1,$25.35,$25.35,CS Dept,
3/24/20,Teach LA Social,Social,Ice Blocks,3,$3.99,$13.11,CS Dept,
3/24/20,Teach LA Social,Social,Snacks,1,$53.48,$53.48,CS Dept,
3/24/20,Sepulveda Middle School,Transportation,Lyft,2,$47.18,$47.18,N/A,"Not reimbursed,past-deadline"
3/24/20,Sepulveda Middle School,Transportation,Lyft,1,$26.31,$26.31,N/A,"Not reimbursed,past-deadline"